,Type,Studio,Tags,Rating,Release_year
568,TV   ,MADHOUSE,"Shounen, Sports, Baseball, Tournaments, Based on a Manga",4.1,2013.0
569,TV   ,A.C.G.T,"Adventure, Drama, Fantasy, Sci Fi, Episodic, Melancholy, Motorcycles, Based on a Light Novel, Violence",4.09,2003.0
570,TV   ,Sunrise,"Drama, Mecha, Sci Fi, Outer Space, Real Robot, Original Work",4.09,2015.0
571,TV   ,BN Pictures,"Comedy, Shounen, Demons, Monster School, Person in a Strange World, School Life, Supernatural, Based on a Manga",4.09,2019.0
572,TV   ,SHAFT,"Drama, Seinen, Slice of Life, Board Games, Coming of Age, Lifestyle Change, Loneliness, Melancholy, Mental Illness, Orphans, Psychological, Based on a Manga",4.09,2016.0
573,TV   ,J.C.Staff,"Drama, Romance, School Life, Supernatural, Based on an Eroge, Based on a Visual Novel",4.09,2013.0
574,TV   ,Manglobe,"Comedy, Fantasy, Romance, Shounen, Demons, Otaku Culture, School Life, Based on a Manga",4.09,2011.0
575,Movie,Sunrise,"Mecha, Sci Fi, Conspiracy, Mind Games, Political, Psychological, Real Robot, Secret Identity, Superpowers, Terrorism, Original Work, Nudity,, Violence",4.09,2017.0
578,Movie,Shuka,"Drama, Fantasy, Shoujo, Cats, Countryside, Iyashikei, Japanese Mythology, Orphans, Supernatural, Youkai, Based on a Manga",4.09,2021.0
580,Movie,Pierrot,"Comedy, Slice of Life, NEET, Siblings, Based on a Manga",4.09,2019.0
581,TV   ,Production I.G,"Action, Drama, Fantasy, Mystery, Bodyguards, Environmental, Political, Royalty, Based on a Novel",4.09,2007.0
582,TV   ,MADHOUSE,"Seinen, Debt, Gambling, High Stakes Games, Prison, Psychological, Thriller, Based on a Manga, Mature Themes",4.09,2011.0
583,TV   ,Zero-G,"Comedy, Slice of Life, Animal Protagonists, Cats, Iyashikei, Non-Human Protagonists, Pets, Writers, Based on a Manga",4.09,2019.0
584,TV   ,Bones,"Adventure, Comedy, Sci Fi, Aliens, Bounty Hunters, Breaking the Fourth Wall, Episodic, Outer Space, Parody, Robots, Original Work",4.09,2014.0
585,TV   ,SATELIGHT,"Adventure, Fantasy, Seinen, Slice of Life, Childcare, Forest, Lifestyle Change, Monsters, Non-Human Protagonists, Orphans, Single Parent, Based on a Manga, Violence",4.09,2020.0
586,Movie,Oh production,"Drama, Fantasy, Aging, Loneliness, Melancholy, No Dialogue, Ocean, Shorts, Original Work",4.09,2008.0
587,TV   ,C2C,"Action, Adventure, Comedy, Fantasy, Shounen, Isekai, Kingdom Building, Magic, Modern Knowledge, Monsters, Overpowered Main Characters, Person in a Strange World, RPG, Summoned Into Another World, Based on a Light Novel, Violence",4.09,2021.0
589,TV   ,Bones,"Drama, Earthquake, Melancholy, Natural Disaster, noitaminA, Siblings, Survival, Original Work",4.09,2009.0
590,Movie,TMS Entertainment,"Mystery, Shounen, Age Transformation, Detectives, Police, Thieves, Thriller, Based on a Manga",4.09,2006.0
592,Movie,MADHOUSE,"Action, Adventure, Fantasy, Dark Fantasy, Isekai, Magic, Overpowered Main Characters, Person in a Strange World, Recap, RPG, Skeletons, Trapped in a Video Game, Virtual Reality, Based on a Light Novel, Violence",4.09,2017.0
595,Movie,A-1 Pictures,"Action, Fantasy, Shounen, Guilds, Magic, Based on a Manga",4.09,2017.0
596,TV   ,David Production,"Action, Comedy, Drama, Ecchi, Shounen, Elemental Powers, Firefighters, Supernatural, Superpowers, Based on a Manga, Violence",4.09,2019.0
597,TV   ,Production I.G,"Adventure, Drama, Fantasy, Slice of Life, Coming of Age, Countryside, Family Friendly, Medieval, Political, Based on a Novel, Animal Abuse,, Mature Themes",4.09,2009.0
598,TV   ,SILVER LINK.,"Action, Adventure, Comedy, Fantasy, Sci Fi, Guilds, MMORPG, Overpowered Main Characters, PVE, PVP, RPG, Tournaments, Virtual Reality, Based on a Light Novel",4.08,2020.0
601,Movie,Production I.G,"Action, Fantasy, Mecha, Magic, Military, War, Violence",4.08,2010.0
602,TV   ,8 Pan,"Shounen, Sports, Cycling, Racing, School Club, School Life, Tournaments, Based on a Manga",4.08,2013.0
603,Movie,GAINAX,"Action, Adventure, Comedy, Mecha, Sci Fi, Combining Mecha, Recap, Super Robot, Original Work",4.08,2008.0
604,Movie,Studio Ghibli,"Fantasy, Contemporary Fantasy, Family Friendly, Based on a Novel",4.08,2010.0
605,Movie,TMS Entertainment,"Mystery, Romance, Shounen, Age Transformation, Amnesia, Amusement Park, Detectives, Police, Based on a Manga, Violence",4.08,2000.0
606,TV   ,A-1 Pictures,"Comedy, Romance, Seinen, Slice of Life, Androphobia, Coworkers, Restaurants, Work Life, Based on a 4-Koma Manga, Based on a Manga",4.08,2015.0
607,TV   ,E&G Films,"Adventure, Comedy, Fantasy, Magic, Medieval, Based on a Light Novel",4.08,1996.0
610,TV   ,Kyoto Animation,"Comedy, Drama, Harem, Romance, Supernatural, Transfer Students, Based on a Visual Novel",4.08,2006.0
611,TV   ,A-1 Pictures,"Comedy, Shounen, Slice of Life, Agriculture, Coming of Age, Lifestyle Change, noitaminA, School Life, Based on a Manga",4.08,2013.0
614,TV   ,Bones,"Action, Fantasy, Shounen, Demons, Monster School, School Life, Shinigami, Supernatural, Based on a Manga",4.08,2008.0
616,Movie,TMS Entertainment,"Seinen, Criminals, Thieves, Based on a Manga, CG Animation",4.08,2019.0
617,Movie,WIT Studio,"Action, Fantasy, Horror, Shounen, Dark Fantasy, Isolated Society, Military, Overpowered Main Characters, Post-apocalyptic, Recap, Revenge, Based on a Manga, Violence",4.08,2020.0
626,TV   ,Toei Animation,"Action, Fantasy, Shounen, Aliens, Hand to Hand Combat, Martial Arts, Superpowers, Based on a Manga",4.08,1989.0
629,Movie,Studio Ghibli,"Drama, Romance, Shoujo, Slice of Life, Coming of Age, Historical, School Life, Based on a Manga",4.08,2011.0
631,Movie,LIDEN FILMS,"Drama, Seinen, Sports, Cars, Racing, Based on a Manga",4.07,2016.0
633,TV   ,J.C.Staff,"Comedy, Drama, Josei, Romance, Art, Art School, College, Coming of Age, Love Triangle, noitaminA, School Life, Based on a Manga",4.07,2006.0
634,Movie,ufotable,"Mystery, Overpowered Main Characters, Supernatural, Based on a Light Novel",4.07,2013.0
636,Movie,MADHOUSE,"Action, Adventure, Fantasy, Dark Fantasy, Isekai, Magic, Overpowered Main Characters, Person in a Strange World, Recap, RPG, Skeletons, Trapped in a Video Game, Virtual Reality, Based on a Light Novel, Violence",4.07,2017.0
637,TV   ,Toei Animation,"Comedy, Romance, Shoujo, Romantic Comedy, School Life, Based on a Manga",4.07,2007.0
639,TV   ,CloverWorks,"Dream World, Monster-of-the-week, Psychological, Supernatural, Original Work, Bullying,, Emotional Abuse,, Mature Themes,, Physical Abuse,, Sexual Abuse,, Suicide,, Violence,, Self-Harm",4.07,2021.0
640,TV   ,Nippon Animation,"Drama, 19th Century, Coming of Age, Europe, Historical, Italy, Lifestyle Change, Poverty, World Masterpiece Theater, Based on a Novel, Mature Themes,, Physical Abuse",4.07,1995.0
641,Movie,Studio DEEN,"BL, Romance, Shounen-ai, Based on a Manga",4.07,2020.0
643,Movie,Production I.G,"Action, Fantasy, Mecha, Magic, Military, War, Violence",4.07,2011.0
644,TV   ,MADHOUSE,"Drama, Fantasy, Reverse Harem, Romance, Shoujo, Medical, Pandemic, Political, Social Gap, Based on a Light Novel",4.07,2007.0
645,TV   ,Pili International Multimedia,"Action, Fantasy, Ancient China, Swordplay, Wuxia, Original Work, Violence",4.07,2018.0
646,TV   ,CloverWorks,"Action, Comedy, Drama, Crime, Detectives, noitaminA, Based on a Novel, Mature Themes,, Suicide",4.07,2020.0
647,TV   ,Artland,"Action, Adventure, Comedy, Shounen, Gangs, Mafia, Supernatural, Superpowers, Based on a Manga",4.07,2006.0
648,TV   ,CloverWorks,"BL, Romance, Yaoi, Acting, Adult Couples, Blackmail, Mature Romance, Showbiz, Based on a Manga, Sexual Content",4.07,2018.0
649,TV   ,3xCube,"Action, Drama, Sci Fi, Sports, Boxing, Hand to Hand Combat",4.07,2018.0
650,Movie,Studio Ghibli,"Drama, Romance, Aviation, Biographies, Historical, War, World War 2",4.07,2013.0
653,TV   ,Sunrise,"Drama, Sci Fi, Seinen, Astronauts, Coworkers, Outer Space, Work Life, Based on a Manga",4.07,2003.0
654,Movie,TYO Animations,"Drama, Sci Fi, Monsters",4.07,2020.0
655,Movie,Studio DEEN,"Drama, Seinen, Sports, Cars, Racing, Based on a Manga",4.07,2001.0
656,Movie,MADHOUSE,"Adventure, Drama, Acting, Unrequited Love, Original Work",4.07,2001.0
657,TV   ,Studio DEEN,"BL, Comedy, Drama, Romance, Shounen-ai, Age Gap, Cohabitation, LGBT Themes, Romantic Comedy, Writers, Yaoi Hand Syndrome, Based on a Manga, Sexual Content",4.07,2008.0
658,TV   ,Studio Mother,"Action, Adventure, Fantasy, Harem, Seinen, Dark Fantasy, Dungeon, Guns, Isekai, Magic, Overpowered Main Characters, Person in a Strange World, RPG, Summoned Into Another World, Based on a Light Novel",4.07,2022.0
659,Movie,ufotable,"Drama, Mystery, Overpowered Main Characters, Supernatural, Based on a Light Novel, Violence",4.07,2008.0
661,TV   ,Telecom Animation Film,"Action, Adventure, Drama, Fantasy, High Stakes Games, Play or Die, PVE, PVP, Based on a Webtoon, Mature Themes,, Suicide,, Violence",4.07,2020.0
662,Movie,XEBEC,"Shounen, Sports, Baseball, Based on a Manga",4.07,2008.0
663,TV   ,A-1 Pictures,"Action, Fantasy, Sci Fi, Magic, Medieval, Monsters, Overpowered Main Characters, Person in a Strange World, RPG, Virtual Reality, War, Based on a Light Novel, Violence",4.07,2019.0
664,Movie,Studio Ghibli,"Fantasy, Contemporary Fantasy, Family Friendly, Magic, Mermaids, Non-Human Protagonists, Ocean, Original Work",4.07,2008.0
665,Movie,Actas,"Action, Military, Military School, School Club, School Life, Tournaments, Original Work",4.07,2021.0
666,TV   ,P.A. WORKS,"Comedy, Drama, Human Experimentation, School Life, Student Council, Supernatural, Superpowers, Original Work",4.07,2015.0
667,TV   ,Bones,"Drama, Mystery, Romance, Boarding School, Detectives, Europe, Historical, Library, Based on a Light Novel, Violence",4.07,2010.0
668,Movie,Magic Bus,"Drama, Sci Fi, Military, Outer Space, Political, Space Opera, War, Based on a Novel",4.06,1993.0
669,Movie,Studio DEEN,"Action, Drama, Reverse Harem, Feudal Japan, Historical, Samurai, Based on an Otome Game, Based on a Visual Novel",4.06,2014.0
670,TV   ,Toei Animation,"Action, Shounen, Hand to Hand Combat, Martial Arts, Superpowers, Based on a Manga",4.06,2014.0
674,TV   ,Orange,"Action, Drama, Fantasy, Shounen, Animal Protagonists, Anthropomorphic, Non-Human Protagonists, Psychological, School Life, Based on a Manga, CG Animation",4.06,2021.0
675,Movie,Production I.G,"Action, Sci Fi, Dystopia, Noir, Thriller, Original Work",4.06,2020.0
676,Movie,Production I.G,"Sci Fi, Cyberpunk, Cyborgs, Hacking, Noir, Based on a Manga, Nudity",4.06,2008.0
677,Movie,Production I.G,"Shounen, Sports, Basketball, Recap, School Club, Tournaments, Based on a Manga",4.06,2016.0
681,TV   ,Bones,"Adventure, Drama, Fantasy, Shounen, 19th Century, Curse, Europe, France, Non-Human Protagonists, Steampunk, Supernatural, Vampires, Based on a Manga, Explicit Violence",4.06,2021.0
682,TV   ,Studio DEEN,"Adventure, Fantasy, Sci Fi, Economics, Guilds, Isekai, MMORPG, Overpowered Main Characters, Person in a Strange World, PVE, RPG, Trapped in a Video Game, Based on a Light Novel",4.06,2014.0
683,Movie,Toei Animation,"Action, Mecha, Sci Fi, Combining Mecha, Non-Human Protagonists, Super Robot, Transforming Mecha",4.06,1986.0
687,TV   ,A-1 Pictures,"Action, Fantasy, Shounen, Contemporary Fantasy, Demons, Exorcists, Monster School, School Life, Siblings, Supernatural, Urban Fantasy, Based on a Manga",4.06,2011.0
688,Movie,Production I.G,"Action, Fantasy, Mecha, Magic, Military, War",4.06,2010.0
690,TV   ,WIT Studio,"Action, Drama, Horror, Shounen, Demons, Pandemic, Post-apocalyptic, Supernatural, Vampires, Based on a Manga, Violence",4.06,2015.0
691,TV   ,Doga Kobo,"Comedy, Romance, Shounen, Gag, Manga Industry, Otaku Culture, Romantic Comedy, Satire, School Life, Writers, Based on a 4-Koma Manga, Based on a Manga",4.06,2014.0
694,TV   ,A-1 Pictures,"Adventure, Drama, Mystery, Sci Fi, Childhood Friends, Coming of Age, Dystopia, Post-apocalyptic, Psychic Powers, Superpowers, Thriller, Based on a Novel, Violence",4.05,2012.0
696,Movie,MADHOUSE,"Fantasy, Magical Girl, Romance, Shoujo, Family Friendly, Henshin Heroes, Magic, Based on a Manga",4.05,2000.0
697,TV   ,WHITE FOX,"Action, Comedy, Fantasy, Slice of Life, Contemporary Fantasy, Coworkers, Demon King, Demons, Lifestyle Change, Non-Human Protagonists, Person in a Strange World, Restaurants, Reverse Isekai, Urban Fantasy, Work Life, Based on a Light Novel",4.05,2013.0
698,Movie,LIDEN FILMS,"Drama, Seinen, Sports, Cars, Racing, Based on a Manga",4.05,2015.0
699,Movie,Toei Animation,"Sci Fi, Aliens, Idols, Music, Non-Human Protagonists, Original Work",4.05,2003.0
704,TV   ,SILVER LINK.,"Comedy, Slice of Life, Iyashikei, School Life, Based on a Manga",4.05,2016.0
705,TV   ,Kyoto Animation,"Drama, Mystery, Shounen, School Club, School Life, Based on a Novel",4.05,2012.0
706,TV   ,Pierrot,"Action, Drama, Shounen, Japanese Mythology, Ninja, Revenge, Rivalries, Based on a Manga",4.05,2002.0
707,TV   ,Platinum Vision,"Drama, Romance, Shounen, Music, School Club, School Life, Based on a Manga",4.05,2019.0
708,TV   ,Sunrise,"Action, Drama, Mecha, Sci Fi, Outer Space, Real Robot",4.05,2019.0
710,TV   ,Production I.G,"Drama, Romance, Shoujo, Love Triangle, School Life, Based on a Manga",4.05,2014.0
711,Movie,CloverWorks,"BL, Romance, Yaoi, Acting, Adult Couples, Mature Romance, Showbiz, Based on a Manga",4.05,2021.0
713,Movie,Animation Do,"Sports, Recap, School Club, School Life, Swimming, Tournaments, Based on a Light Novel",4.05,2017.0
715,TV   ,A-1 Pictures,"Shounen, 19th Century, Butlers, Deal with the Devil, Demons, England, Europe, Master-Servant Relationship, Nobility, Non-Human Protagonists, Supernatural, Based on a Manga, Animal Abuse,, Mature Themes",4.05,2008.0
717,Movie,TMS Entertainment,"Action, Mystery, Shounen, Sports, Age Transformation, Detectives, Soccer, Terrorism, Thriller, Based on a Manga",4.05,2012.0
719,TV   ,MAPPA,"Action, Fantasy, Shounen, Supernatural, Urban Fantasy, Based on a Manga",4.05,2016.0
721,TV   ,Toei Animation,"Action, Comedy, Aliens, Gods, Hand to Hand Combat, Martial Arts, Non-Human Protagonists, Superpowers",4.05,2015.0
723,TV   ,A-1 Pictures,"Comedy, Drama, Seinen, Sports, Baseball, Codependency, Mental Illness, School Club, School Life, Tournaments, Based on a Manga",4.05,2010.0
724,Movie,Production I.G,"Action, Drama, Sci Fi, Dystopia, Guns, Thriller, Original Work, Explicit Violence",4.05,2015.0
726,TV   ,P.A. WORKS,"Comedy, Drama, Slice of Life, Anime Industry, Coworkers, Otaku Culture, Voice Acting, Work Life, Original Work",4.05,2014.0
727,TV   ,8-Bit,"Comedy, Fantasy, Slice of Life, Contemporary Fantasy, Japanese Mythology, Pets, Youkai, Based on a Webtoon",4.05,2018.0
728,TV   ,GONZO,"Fantasy, Romance, Shoujo, Animal Characteristics, Contemporary Fantasy, Debt, Demons, Food and Beverage, Hotels and Inns, Interspecies Relationship, Isekai, Japanese Mythology, Lifestyle Change, Non-Human Protagonists, Person in a Strange World, Restaurants, Supernatural, Youkai, Based on a Light Novel",4.04,2018.0
729,TV   ,A-1 Pictures,"Action, Fantasy, Sci Fi, Magic, Medieval, MMORPG, Overpowered Main Characters, Person in a Strange World, RPG, Virtual Reality, War, Based on a Light Novel, Mature Themes,, Physical Abuse,, Violence,, Self-Harm",4.04,2020.0
731,Movie,Robot,"Comedy, Drama, Sci Fi, Shounen, Cats, Family Friendly, Non-Human Protagonists, Robots, CG Animation",4.04,2020.0
732,TV   ,LIDEN FILMS,"Seinen, Slice of Life, Animal Characteristics, Animal Transformation, Countryside, Death of a Loved One, Family Life, Iyashikei, Japanese Mythology, Lifestyle Change, Non-Human Protagonists, Orphans, Supernatural, Youkai, Based on a Manga",4.04,2016.0
733,Movie,LIDEN FILMS,"Drama, Seinen, Sports, Cars, Racing, Based on a Manga",4.04,2014.0
734,Movie,MADHOUSE,"Horror, Acting, Idols, Noir, Psychological, Showbiz, Stalkers, Thriller, Based on a Novel, Explicit Sex,, Mature Themes,, Physical Abuse,, Sexual Abuse,, Violence",4.04,1998.0
735,Movie,GAINAX,"Mecha, Military, Post-apocalyptic, Psychological, Super Robot, Original Work, Explicit Violence,, Nudity,, Sexual Content",4.04,1997.0
736,TV   ,8-Bit,"Action, Drama, Sci Fi, Guns, Military, Based on a Visual Novel, Nudity,, Sexual Content,, Violence",4.04,2015.0
737,TV   ,A-1 Pictures,"Comedy, Romance, Seinen, Slice of Life, Androphobia, Coworkers, Restaurants, Work Life, Based on a 4-Koma Manga, Based on a Manga",4.04,2011.0
738,Movie,Actas,"Action, Military, Military School, School Club, School Life, Tournaments, Original Work",4.04,2019.0
739,Movie,Pierrot,"Action, Fantasy, Shounen, Ninja, Person in a Strange World, Based on a Manga",4.04,2012.0
740,Movie,Double Eagle,"Action, Comedy, Criminals, Crossover, Detectives, Thieves",4.04,2013.0
741,TV   ,WHITE FOX,"Action, Seinen, Gangs, Guns, Mercenaries, Military, Based on a Manga, Nudity,, Violence",4.04,2012.0
742,Movie,Animation Do,"Sports, Recap, School Club, School Life, Swimming, Tournaments, Based on a Light Novel",4.04,2017.0
743,TV   ,SILVER LINK.,"Comedy, Fantasy, Josei, Reverse Harem, Romance, Isekai, Magic, Nobility, Person in a Strange World, Reincarnation, Villainess, Based on a Light Novel",4.04,2020.0
744,TV   ,TNK,"Action, Ecchi, Fantasy, Harem, Shounen, Contemporary Fantasy, Demons, Newly Co-ed School, School Life, Based on a Light Novel, Sexual Content",4.04,2013.0
745,Movie,TMS Entertainment,"Mystery, Shounen, Age Transformation, Detectives, Based on a Manga",4.04,1998.0
747,TV   ,Production I.G,"Mystery, Amnesia, Conspiracy, High Stakes Games, NEET, noitaminA, Original Work",4.04,2009.0
750,Movie,Sunrise,"Mecha, Sci Fi, Outer Space",4.04,1998.0
751,TV   ,Brain's Base,"Comedy, Drama, Romance, Seinen, Coming of Age, School Club, School Life, Based on a Light Novel",4.04,2013.0
753,Movie,Studio 4°C,"Action, Fantasy, Seinen, Dark Fantasy, Demons, Medieval, Mercenaries, Overpowered Main Characters, Swordplay, Based on a Manga, Explicit Violence,, Nudity",4.04,2012.0
754,TV   ,Tezuka Productions,"Comedy, Drama, Harem, Romance, Shounen, School Life, Siblings, Tutors, Based on a Manga",4.04,2019.0
756,TV   ,MADHOUSE,"Seinen, Debt, Gambling, High Stakes Games, Mind Games, Psychological, Thriller, Based on a Manga, Mature Themes,, Physical Abuse",4.04,2007.0
757,TV   ,Haoliners Animation League,"Action, BL, Shounen-ai, Chinese Animation, Exorcists, Ghosts, Master-Servant Relationship, Supernatural, Based on a Manga",4.04,2018.0
758,TV   ,GAINAX,"Drama, Mecha, Sci Fi, Conspiracy, Kaijuu, Loneliness, Melancholy, Military, Monsters, Post-apocalyptic, Psychological, Super Robot, Original Work, Emotional Abuse,, Explicit Violence,, Mature Themes,, Suicide",4.04,1995.0
759,Movie,Science SARU,"Comedy, Romance, Abstract, Adult Couples, Love Confession, Romantic Comedy, Based on a Novel",4.04,2017.0
760,TV   ,Telecom Animation Film,"Drama, Mystery, Romance, Shoujo, Death of a Loved One, Melancholy, Mental Illness, Psychological, School Life, Supernatural, Unrequited Love, Based on a Manga, Mature Themes,, Suicide",4.04,2016.0
765,Movie,TMS Entertainment,"Drama, Mystery, Shounen, Age Transformation, Detectives, Based on a Manga",4.03,2017.0
766,Movie,Production I.G,"Shounen, Sports, Basketball, Recap, School Club, Tournaments, Based on a Manga",4.03,2016.0
768,Movie,TMS Entertainment,"Action, Mystery, Shounen, Age Transformation, Detectives, Thriller, Based on a Manga, Violence",4.03,1997.0
769,TV   ,St. Signpost,"Comedy, Fantasy, Shounen, Contemporary Fantasy, Exorcists, Iyashikei, Japanese Mythology, School Life, Supernatural, Youkai, Based on a Manga",4.03,2019.0
770,Movie,ufotable,"Drama, Horror, Mystery, Romance, Overpowered Main Characters, Split Personality, Supernatural, Based on a Light Novel, Violence",4.03,2007.0
771,Movie,Production I.G,"Action, Fantasy, Mecha, Magic, Military, War, Violence",4.03,2011.0
772,Movie,Studio DEEN,"Action, Drama, Reverse Harem, Feudal Japan, Historical, Samurai, Based on an Otome Game, Based on a Visual Novel",4.03,2013.0
773,TV   ,Orange,"Drama, Fantasy, Romance, Shounen, Animal Protagonists, Anthropomorphic, Non-Human Protagonists, Psychological, School Life, Based on a Manga, CG Animation, Bullying,, Emotional Abuse,, Mature Themes,, Sexual Content,, Violence",4.03,2019.0
774,Movie,Science SARU,"Drama, Romance, Slice of Life, Adult Couples, Death of a Loved One, Firefighters, Mature Romance, Original Work",4.03,2019.0
775,TV   ,WHITE FOX,"Action, Adventure, Fantasy, Seinen, Dark Fantasy, Guilds, Magic, Medieval, Monsters, Based on a Light Novel, Explicit Sex,, Explicit Violence,, Mature Themes,, Physical Abuse,, Sexual Abuse",4.03,2018.0
776,Movie,MADHOUSE,"Drama, Afterlife, Anime Tamago, Bar, Billiards, High Stakes Games, Play or Die, Psychological, PVP, Shorts, Supernatural, Thriller, Original Work",4.03,2013.0
777,TV   ,TMS Entertainment,"Action, Adventure, Shounen, Afterlife, Demons, Europe, Exorcists, Supernatural, Superpowers, Based on a Manga, Animal Abuse,, Mature Themes,, Violence",4.03,2006.0
778,Movie,Production I.G,"Action, Fantasy, Mecha, Magic, Military, War",4.03,2010.0
779,TV   ,Toei Animation,"Action, Adventure, Shounen, Animal Protagonists, Bears, Dogs, Non-Human Protagonists, Revenge, Based on a Manga, Animal Abuse,, Explicit Violence,, Mature Themes",4.03,1986.0
780,Movie,Zexcs,"GL, Romance, Shoujo-ai, Opposites Attract, School Life, Based on a Manga",4.03,2018.0
783,TV   ,P.A. WORKS,"Comedy, Drama, Fantasy, Slice of Life, Animal Transformation, Contemporary Fantasy, Family Life, Japanese Mythology, Non-Human Protagonists, Urban Fantasy, Youkai, Based on a Novel",4.03,2017.0
784,Movie,A-1 Pictures,"Drama, Coming of Age, Mental Illness, School Life, Supernatural, Original Work",4.03,2015.0
787,Movie,TMS Entertainment,"Drama, Mystery, Shounen, Age Transformation, Classical Music, Detectives, Music, Music School, School Life, Based on a Manga",4.03,2008.0
788,TV   ,Animation Do,"Comedy, Drama, Sports, Childhood Friends, Rivalries, School Club, School Life, Swimming, Based on a Light Novel",4.03,2014.0
789,Movie,Kyoto Animation,"Romance, Slice of Life, Love Confession, Original Work",4.03,2014.0
792,TV   ,Kyoto Animation,"Comedy, Shounen, Breaking the Fourth Wall, School Club, School Life, Based on a Light Novel",4.02,2006.0
795,TV   ,BEE TRAIN,"Action, Amnesia, Assassins, Criminals, Gangs, Guns, Psychological, Based on a Visual Novel, Nudity,, Violence",4.02,2009.0
797,TV   ,SILVER LINK.,"Action, Comedy, Fantasy, Demon King, Demons, Magic, Magic School, Non-Human Protagonists, Overpowered Main Characters, Reincarnation, School Life, Based on a Light Novel, Violence",4.02,2020.0
798,TV   ,Animation Do,"Sports, Codependency, School Club, Swimming, Based on a Light Novel",4.02,2018.0
799,TV   ,MAPPA,"Idols, Music, Supernatural, Zombies, Original Work",4.02,2021.0
801,TV   ,Hoods Entertainment,"Comedy, Romance, Shoujo, School Life, Based on a Manga",4.02,2019.0
803,TV   ,Pierrot,"Fantasy, Romance, Shoujo, Age Gap, Arranged Marriage, Lifestyle Change, Royalty, Based on a Manga",4.02,2014.0
804,TV   ,TNK,"Action, Ecchi, Fantasy, Harem, Shounen, Angels, Contemporary Fantasy, Demons, Newly Co-ed School, Non-Human Protagonists, Norse Mythology, School Life, Based on a Light Novel, Nudity,, Sexual Content",4.02,2015.0
805,Movie,Production I.G,"Seinen, Japanese Mythology, Supernatural, Based on a Manga",4.02,2005.0
806,TV   ,J.C.Staff,"Action, Fantasy, Harem, Dungeon, Guilds, Monsters, RPG, Swordplay, Based on a Light Novel, Mature Themes,, Violence,, Self-Harm",4.02,2020.0
807,TV   ,WHITE FOX,"Adventure, Drama, Sci Fi, Seinen, Slice of Life, Iyashikei, Melancholy, Orphans, Post-apocalyptic, Based on a Manga",4.02,2017.0
809,TV   ,Bones,"Action, Sci Fi, Shounen, Episodic, Supernatural, Superpowers, Vampires, Based on a Manga, Violence",4.02,2017.0
811,TV   ,Studio DEEN,"Horror, Mystery, Countryside, Curse, Psychological, School Life, Thriller, Based on a Visual Novel, Emotional Abuse,, Explicit Violence,, Mature Themes,, Physical Abuse,, Domestic Abuse",4.02,2006.0
812,TV   ,Pierrot,"Shounen, Sports, School Life, Tennis, Tournaments, Based on a Manga",4.02,2014.0
813,Movie,Visual Works,"Action, Fantasy, Martial Arts, Swordplay, Based on a Video Game, CG Animation",4.02,2005.0
814,Movie,Production I.G,"Sci Fi, Cyberpunk, Dystopia, Noir, Police, Original Work, Explicit Violence,, Nudity",4.02,2019.0
815,Movie,Studio Ghibli,"Fantasy, Animal Protagonists, Animal Transformation, Anthropomorphic, Cats, Contemporary Fantasy, Family Friendly, Non-Human Protagonists, Based on a Manga",4.02,2002.0
816,TV   ,Studio Hibari,"Fantasy, Shoujo, Baking, Culinary School, Family Friendly, Food and Beverage, School Life, Based on a Manga",4.02,2009.0
817,TV   ,8 Pan,"Action, Adventure, Shounen, Afterlife, Demons, Exorcists, Supernatural, Superpowers, Based on a Manga",4.02,2016.0
818,Movie,A-1 Pictures,"Action, MMORPG, Overpowered Main Characters, Person in a Strange World, PVE, Virtual Reality, Based on a Light Novel, Nudity",4.02,2017.0
821,Movie,MADHOUSE,"Sci Fi, Dream World, Hacking, Psychological, Based on a Novel, Nudity",4.02,2006.0
822,Movie,Kinema Citrus,"Drama, Abstract, All-Girls School, Childhood Friends, Showbiz, Original Work, Violence",4.02,2021.0
823,TV   ,Seven Arcs,"Fantasy, Magical Girl, Seinen, Contemporary Fantasy, Disability, Henshin Heroes, Magic, Urban Fantasy, Original Work",4.02,2005.0
824,Movie,Kyoto Animation,"Music, School Club, School Life, Based on a Novel",4.02,2018.0
825,TV   ,Pili International Multimedia,"Action, Fantasy, Ancient China, Swordplay, Wuxia, Original Work",4.02,2021.0
829,Movie,CoMix Wave Films,"Drama, Romance, Age Gap, Loneliness, Melancholy, Original Work",4.02,2013.0
830,TV   ,Kyoto Animation,"Sports, Archery, School Club, School Life, Tournaments, Based on a Light Novel",4.01,2018.0
831,TV   ,Telecom Animation Film,"Action, Comedy, Criminals, Europe, Italy, Thieves",4.01,2015.0
833,Movie,A-1 Pictures,"Drama, Romance, Childhood Friends, Coming of Age, Death of a Loved One, Ghosts, Recap, Supernatural, Original Work",4.01,2013.0
834,TV   ,Sunrise,"Action, Adventure, Comedy, Sci Fi, Seinen, Mercenaries, Outer Space, Based on a Manga, Nudity",4.01,1998.0
835,TV   ,TRIGGER,"Adventure, Fantasy, Magic, Magic School, School Life, Witches, Original Work",4.01,2017.0
836,Movie,Seven Arcs,"Action, Fantasy, Magical Girl, Contemporary Fantasy, Henshin Heroes, Magic, Recap, Urban Fantasy, Original Work, Mature Themes,, Nudity,, Domestic Abuse",4.01,2010.0
837,TV   ,TMS Entertainment,"Drama, Romance, Shoujo, Acting, Showbiz, Work Life, Based on a Manga",4.01,2005.0
